2013-12-16 20:43:47 install libpam-runtime:all <none> 1.1.3-7.1
2013-12-16 20:43:47 status half-installed libpam-runtime:all 1.1.3-7.1
2013-12-16 20:43:48 status unpacked libpam-runtime:all 1.1.3-7.1
2013-12-16 20:43:48 status unpacked libpam-runtime:all 1.1.3-7.1
2013-12-16 20:43:48 install libpam0g:armel <none> 1.1.3-7.1
2013-12-16 20:43:48 status half-installed libpam0g:armel 1.1.3-7.1
2013-12-16 20:43:48 status unpacked libpam0g:armel 1.1.3-7.1
2013-12-16 20:43:48 status unpacked libpam0g:armel 1.1.3-7.1
2013-12-16 20:43:48 install login:armel <none> 1:4.1.5.1-1
2013-12-16 20:43:48 status half-installed login:armel 1:4.1.5.1-1
2013-12-16 20:43:49 status unpacked login:armel 1:4.1.5.1-1
2013-12-16 20:43:49 status unpacked login:armel 1:4.1.5.1-1
2013-12-16 20:43:49 install libslang2:armel <none> 2.2.4-15
2013-12-16 20:43:49 status half-installed libslang2:armel 2.2.4-15
2013-12-16 20:43:49 status unpacked libslang2:armel 2.2.4-15
2013-12-16 20:43:49 status unpacked libslang2:armel 2.2.4-15
2013-12-16 20:43:49 install initscripts:armel <none> 2.88dsf-41+deb7u1
2013-12-16 20:43:49 status half-installed initscripts:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:49 status unpacked initscripts:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:49 status unpacked initscripts:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:49 install libustr-1.0-1:armel <none> 1.0.4-3
2013-12-16 20:43:49 status half-installed libustr-1.0-1:armel 1.0.4-3
2013-12-16 20:43:50 status unpacked libustr-1.0-1:armel 1.0.4-3
2013-12-16 20:43:50 status unpacked libustr-1.0-1:armel 1.0.4-3
2013-12-16 20:43:50 install bsdutils:armel <none> 1:2.20.1-5.3
2013-12-16 20:43:50 status half-installed bsdutils:armel 1:2.20.1-5.3
2013-12-16 20:43:50 status unpacked bsdutils:armel 1:2.20.1-5.3
2013-12-16 20:43:50 status unpacked bsdutils:armel 1:2.20.1-5.3
2013-12-16 20:43:50 install libblkid1:armel <none> 2.20.1-5.3
2013-12-16 20:43:50 status half-installed libblkid1:armel 2.20.1-5.3
2013-12-16 20:43:50 status unpacked libblkid1:armel 2.20.1-5.3
2013-12-16 20:43:50 status unpacked libblkid1:armel 2.20.1-5.3
2013-12-16 20:43:50 install libmount1:armel <none> 2.20.1-5.3
2013-12-16 20:43:50 status half-installed libmount1:armel 2.20.1-5.3
2013-12-16 20:43:50 status unpacked libmount1:armel 2.20.1-5.3
2013-12-16 20:43:50 status unpacked libmount1:armel 2.20.1-5.3
2013-12-16 20:43:50 install libuuid1:armel <none> 2.20.1-5.3
2013-12-16 20:43:50 status half-installed libuuid1:armel 2.20.1-5.3
2013-12-16 20:43:50 status unpacked libuuid1:armel 2.20.1-5.3
2013-12-16 20:43:51 status unpacked libuuid1:armel 2.20.1-5.3
